# Sample model initialization file. Each line has the form:
#
# project | model_id | URL | description
#
# To configure the publisher database with this information:
#
# - In esg.ini, in the [initialize] section, uncomment the line:
#     initial_models_table = %(home)s/.esgcet/esgcet_models_table.txt
#
# - Run:
#     % esginitialize -c -i /esg/config/esgcet/esg.ini
cmip5 | ACCESS |  | ACCESS, Centre for Australian Weather and Climate Research (CAWCR)
cmip5 | ACCESS1-0 |  | ACCESS1-0, Centre for Australian Weather and Climate Research (CAWCR)
cmip5 | ACCESS1-3 |  | ACCESS1-3, Centre for Australian Weather and Climate Research (CAWCR)
cmip5 | BCC-CSM1-1 |  | BCC-CSM1.1, Beijing Climate Center, China Meteorological Administration
cmip5 | BNU-ESM |  | BNU-ESM, College of Global Change and Earth System Science, Beijing Normal University
cmip5 | CANAM4 |  | CanAM4, Canadian Centre for Climate Modelling and Analysis
cmip5 | CANCM4 |  | CanCM4, Canadian Centre for Climate Modelling and Analysis
cmip5 | CANESM2 |  | CanESM2, Canadian Centre for Climate Modelling and Analysis
cmip5 | CCSM4 |  | Community Climate System Model 4
cmip5 | CCSM4-RSMAS |  | University of Miami - RSMAS
cmip5 | CESM1-BGC |  | Community Earth System Model 1
cmip5 | CESM1-CAM5 |  | Community Earth System Model 1
cmip5 | CESM1-CAM5-1-FV2 |  | Community Earth System Model 1
cmip5 | CESM1-CHEM |  | Community Earth System Model 1
cmip5 | CESM1-CHEM-CAM5 |  | Community Earth System Model 1
cmip5 | CESM1-FASTCHEM |  | Community Earth System Model 1
cmip5 | CESM1-WACCM |  | Community Earth System Model 1
cmip5 | CFSv2-2011 |  | CFSv2-2011, Center for Ocean-Land-Atmosphere Studies and National Centers for Environmental Prediction
cmip5 | CMCC-CESM |  | CMCC-CESM, Centro Euro-Mediterraneo per I Cambiamenti Climatici
cmip5 | CMCC-CM |  | CMCC-CM, Centro Euro-Mediterraneo per I Cambiamenti Climatici
cmip5 | CMCC-CMS |  | CMCC-CMS, Centro Euro-Mediterraneo per I Cambiamenti Climatici
cmip5 | CNRM-CERFACS |  | CNRM-CERFACS, Centre National de Recherches Meteorologiques / Centre Europeen de Recherche et Formation Avancees en Calcul Scientifique (CNRM/CERFACS)
cmip5 | CNRM-CM5 |  | CNRM-CM5, Centre National de Recherches Meteorologiques / Centre Europeen de Recherche et Formation Avancees en Calcul Scientifique (CNRM/CERFACS)
